Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"if (x != """")",Chrome 85.0.4183.83,,,2020-12-07 11:09:17,2020-12-07 11:09:19,1.765s,PASSED
,,,,,,,
Test Cases/JFL-144/JFL-144_Main,Chrome 85.0.4183.83,,,2020-12-07 11:09:19,2020-12-07 11:09:44,25.034s,PASSED
"openBrowser("""")",Chrome 85.0.4183.83,,,2020-12-07 11:09:19,2020-12-07 11:09:23,3.745s,PASSED
"navigateToUrl(""http://localhost/ezactivevn/hkjfl/admin/login.html"")",Chrome 85.0.4183.83,,,2020-12-07 11:09:23,2020-12-07 11:09:23,0.239s,PASSED
login(),Chrome 85.0.4183.83,,,2020-12-07 11:09:23,2020-12-07 11:09:23,0.001s,PASSED
"setText(findTestObject(""Object Repository/HKJFL-144/input_Sign up_email""), qadrangle)",Chrome 85.0.4183.83,,,2020-12-07 11:09:23,2020-12-07 11:09:24,0.834s,PASSED
"setEncryptedText(findTestObject(""Object Repository/HKJFL-144/input_Sign up_password""), password)",Chrome 85.0.4183.83,,,2020-12-07 11:09:24,2020-12-07 11:09:24,0.362s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/button_Login""))",Chrome 85.0.4183.83,,,2020-12-07 11:09:24,2020-12-07 11:09:25,0.320s,PASSED
selectPlayer(teamNumber),Chrome 85.0.4183.83,,,2020-12-07 11:09:25,2020-12-07 11:09:25,0.002s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/i_Year Groups_fa fa-angle-right drop-icon""))",Chrome 85.0.4183.83,,,2020-12-07 11:09:25,2020-12-07 11:09:26,1.093s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/a_2020-2021""))",Chrome 85.0.4183.83,,,2020-12-07 11:09:26,2020-12-07 11:09:26,0.538s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/button_Select""))",Chrome 85.0.4183.83,,,2020-12-07 11:09:26,2020-12-07 11:09:27,0.654s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/input_Search_dt-checkboxes""))",Chrome 85.0.4183.83,,,2020-12-07 11:09:27,2020-12-07 11:09:27,0.622s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/button_Actions""))",Chrome 85.0.4183.83,,,2020-12-07 11:09:27,2020-12-07 11:09:28,0.527s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/a_Assign player to Team""))",Chrome 85.0.4183.83,,,2020-12-07 11:09:28,2020-12-07 11:09:28,0.541s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/button_OK""))",Chrome 85.0.4183.83,,,2020-12-07 11:09:28,2020-12-07 11:09:30,1.016s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/span_Select a team_select2-selection__arrow""))",Chrome 85.0.4183.83,,,2020-12-07 11:09:30,2020-12-07 11:09:30,0.848s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/li_HKFC"" + number))",Chrome 85.0.4183.83,,,2020-12-07 11:09:30,2020-12-07 11:09:31,0.524s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/button_Submit""))",Chrome 85.0.4183.83,,,2020-12-07 11:09:31,2020-12-07 11:09:31,0.556s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/HKJFL-144/div_Information - Assign player to Team""), 0)",Chrome 85.0.4183.83,,,2020-12-07 11:09:31,2020-12-07 11:09:32,0.818s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/button_""))",Chrome 85.0.4183.83,,,2020-12-07 11:09:32,2020-12-07 11:09:33,0.309s,PASSED
selectTeamAndSubmit(teamNumber),Chrome 85.0.4183.83,,,2020-12-07 11:09:33,2020-12-07 11:09:33,0.001s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/a_Teams""))",Chrome 85.0.4183.83,,,2020-12-07 11:09:33,2020-12-07 11:09:33,0.316s,PASSED
"click(findTestObject(""HKJFL-144/td_HKFC"" + number + ""_details""))",Chrome 85.0.4183.83,,,2020-12-07 11:09:33,2020-12-07 11:09:33,0.544s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/button_Actions2""))",Chrome 85.0.4183.83,,,2020-12-07 11:09:33,2020-12-07 11:09:34,0.548s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/a_Submit Team Sheet""))",Chrome 85.0.4183.83,,,2020-12-07 11:09:34,2020-12-07 11:09:35,0.535s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/button_OK_1""))",Chrome 85.0.4183.83,,,2020-12-07 11:09:35,2020-12-07 11:09:43,8.716s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/button_""))",Chrome 85.0.4183.83,,,2020-12-07 11:09:43,2020-12-07 11:09:44,0.620s,PASSED
,,,,,,,
Test Cases/JFL-148/JFL-148_DeleteAllPlayerTest,Chrome 85.0.4183.83,,,2020-12-07 11:09:44,2020-12-07 11:09:56,12.242s,PASSED
"openBrowser("""")",Chrome 85.0.4183.83,,,2020-12-07 11:09:44,2020-12-07 11:09:48,3.729s,PASSED
"navigateToUrl(""http://localhost/ezactivevn/hkjfl/admin/login.html"")",Chrome 85.0.4183.83,,,2020-12-07 11:09:48,2020-12-07 11:09:48,0.242s,PASSED
login(),Chrome 85.0.4183.83,,,2020-12-07 11:09:48,2020-12-07 11:09:48,0.001s,PASSED
"setText(findTestObject(""Object Repository/HKJFL-144/input_Sign up_email""), email)",Chrome 85.0.4183.83,,,2020-12-07 11:09:48,2020-12-07 11:09:49,0.827s,PASSED
"setEncryptedText(findTestObject(""Object Repository/HKJFL-144/input_Sign up_password""), password)",Chrome 85.0.4183.83,,,2020-12-07 11:09:49,2020-12-07 11:09:49,0.359s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/button_Login""))",Chrome 85.0.4183.83,,,2020-12-07 11:09:49,2020-12-07 11:09:49,0.314s,PASSED
selectPlayer(teamNumber),Chrome 85.0.4183.83,,,2020-12-07 11:09:49,2020-12-07 11:09:49,0.002s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/i_Year Groups_fa fa-angle-right drop-icon""))",Chrome 85.0.4183.83,,,2020-12-07 11:09:49,2020-12-07 11:09:51,1.062s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/a_2020-2021""))",Chrome 85.0.4183.83,,,2020-12-07 11:09:51,2020-12-07 11:09:51,0.525s,PASSED
"click(findTestObject(""HKJFL-148/dropDownArrow""))",Chrome 85.0.4183.83,,,2020-12-07 11:09:51,2020-12-07 11:09:52,0.585s,PASSED
"click(findTestObject(""HKJFL-148/li_U10 Boys""))",Chrome 85.0.4183.83,,,2020-12-07 11:09:52,2020-12-07 11:09:52,0.534s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/button_Select""))",Chrome 85.0.4183.83,,,2020-12-07 11:09:52,2020-12-07 11:09:53,0.596s,PASSED
selectTeamAndSubmit(teamNumber),Chrome 85.0.4183.83,,,2020-12-07 11:09:53,2020-12-07 11:09:53,0.002s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/a_Teams""))",Chrome 85.0.4183.83,,,2020-12-07 11:09:53,2020-12-07 11:09:53,0.602s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/td_HKFC"" + number + ""_details""))",Chrome 85.0.4183.83,,,2020-12-07 11:09:53,2020-12-07 11:09:54,0.549s,PASSED
deleteList(),Chrome 85.0.4183.83,,,2020-12-07 11:09:54,2020-12-07 11:09:54,0.001s,PASSED
driver = getWebDriver(),Chrome 85.0.4183.83,,,2020-12-07 11:09:54,2020-12-07 11:09:54,0.000s,PASSED
builder = new org.openqa.selenium.interactions.Actions(driver),Chrome 85.0.4183.83,,,2020-12-07 11:09:54,2020-12-07 11:09:54,0.006s,PASSED
"firstRow = findWebElement(findTestObject(""Object Repository/HKJFL-144/td_Charlie Richley""), 30)",Chrome 85.0.4183.83,,,2020-12-07 11:09:54,2020-12-07 11:09:54,0.501s,PASSED
"lastRow = findWebElement(findTestObject(""Object Repository/HKJFL-144/td_Xavier Jackson""), 30)",Chrome 85.0.4183.83,,,2020-12-07 11:09:54,2020-12-07 11:09:55,0.264s,PASSED
build().perform(),Chrome 85.0.4183.83,,,2020-12-07 11:09:55,2020-12-07 11:09:55,0.268s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/button_Delete""))",Chrome 85.0.4183.83,,,2020-12-07 11:09:55,2020-12-07 11:09:55,0.526s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/button_DeleteInside""))",Chrome 85.0.4183.83,,,2020-12-07 11:09:55,2020-12-07 11:09:56,0.621s,PASSED
,,,,,,,
Test Cases/JFL-148/JFL-148,Chrome 85.0.4183.83,,,2020-12-07 11:09:56,2020-12-07 11:10:20,23.514s,PASSED
"openBrowser("""")",Chrome 85.0.4183.83,,,2020-12-07 11:09:56,2020-12-07 11:10:00,3.746s,PASSED
"navigateToUrl(""http://localhost/ezactivevn/hkjfl/admin/login.html"")",Chrome 85.0.4183.83,,,2020-12-07 11:10:00,2020-12-07 11:10:00,0.254s,PASSED
login(),Chrome 85.0.4183.83,,,2020-12-07 11:10:00,2020-12-07 11:10:00,0.001s,PASSED
"setText(findTestObject(""Object Repository/HKJFL-144/input_Sign up_email""), email)",Chrome 85.0.4183.83,,,2020-12-07 11:10:00,2020-12-07 11:10:01,0.833s,PASSED
"setEncryptedText(findTestObject(""Object Repository/HKJFL-144/input_Sign up_password""), ""iGDxf8hSRT4="")",Chrome 85.0.4183.83,,,2020-12-07 11:10:01,2020-12-07 11:10:01,0.370s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/button_Login""))",Chrome 85.0.4183.83,,,2020-12-07 11:10:01,2020-12-07 11:10:02,0.321s,PASSED
selectPlayer(teamNumber),Chrome 85.0.4183.83,,,2020-12-07 11:10:02,2020-12-07 11:10:02,0.001s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/i_Year Groups_fa fa-angle-right drop-icon""))",Chrome 85.0.4183.83,,,2020-12-07 11:10:02,2020-12-07 11:10:03,0.986s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/a_2020-2021""))",Chrome 85.0.4183.83,,,2020-12-07 11:10:03,2020-12-07 11:10:03,0.527s,PASSED
"click(findTestObject(""HKJFL-148/dropDownArrow""))",Chrome 85.0.4183.83,,,2020-12-07 11:10:03,2020-12-07 11:10:04,0.578s,PASSED
"click(findTestObject(""HKJFL-148/li_U10 Boys""))",Chrome 85.0.4183.83,,,2020-12-07 11:10:04,2020-12-07 11:10:04,0.521s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/button_Select""))",Chrome 85.0.4183.83,,,2020-12-07 11:10:04,2020-12-07 11:10:05,0.575s,PASSED
"click(findTestObject(""Object Repository/HKJFL-148/ListTeam"" + number))",Chrome 85.0.4183.83,,,2020-12-07 11:10:05,2020-12-07 11:10:06,0.585s,PASSED
"name1 = getText(findTestObject(""Object Repository/HKJFL-148/player/td_player_1""))",Chrome 85.0.4183.83,,,2020-12-07 11:10:06,2020-12-07 11:10:06,0.282s,PASSED
"name2 = getText(findTestObject(""Object Repository/HKJFL-148/player/td_player_2""))",Chrome 85.0.4183.83,,,2020-12-07 11:10:06,2020-12-07 11:10:06,0.272s,PASSED
"name3 = getText(findTestObject(""Object Repository/HKJFL-148/player/td_player_3""))",Chrome 85.0.4183.83,,,2020-12-07 11:10:06,2020-12-07 11:10:06,0.280s,PASSED
"name4 = getText(findTestObject(""Object Repository/HKJFL-148/player/td_player_4""))",Chrome 85.0.4183.83,,,2020-12-07 11:10:06,2020-12-07 11:10:07,0.282s,PASSED
"name5 = getText(findTestObject(""Object Repository/HKJFL-148/player/td_player_5""))",Chrome 85.0.4183.83,,,2020-12-07 11:10:07,2020-12-07 11:10:07,0.280s,PASSED
"name6 = getText(findTestObject(""Object Repository/HKJFL-148/player/td_player_6""))",Chrome 85.0.4183.83,,,2020-12-07 11:10:07,2020-12-07 11:10:07,0.274s,PASSED
"name7 = getText(findTestObject(""Object Repository/HKJFL-148/player/td_player_7""))",Chrome 85.0.4183.83,,,2020-12-07 11:10:07,2020-12-07 11:10:08,0.284s,PASSED
"name8 = getText(findTestObject(""Object Repository/HKJFL-148/player/td_player_8""))",Chrome 85.0.4183.83,,,2020-12-07 11:10:08,2020-12-07 11:10:08,0.278s,PASSED
"name9 = getText(findTestObject(""Object Repository/HKJFL-148/player/td_player_9""))",Chrome 85.0.4183.83,,,2020-12-07 11:10:08,2020-12-07 11:10:08,0.280s,PASSED
"name10 = getText(findTestObject(""Object Repository/HKJFL-148/player/td_player_10""))",Chrome 85.0.4183.83,,,2020-12-07 11:10:08,2020-12-07 11:10:08,0.288s,PASSED
selectList(),Chrome 85.0.4183.83,,,2020-12-07 11:10:08,2020-12-07 11:10:08,0.000s,PASSED
driver = getWebDriver(),Chrome 85.0.4183.83,,,2020-12-07 11:10:08,2020-12-07 11:10:08,0.001s,PASSED
builder = new org.openqa.selenium.interactions.Actions(driver),Chrome 85.0.4183.83,,,2020-12-07 11:10:08,2020-12-07 11:10:08,0.000s,PASSED
"firstRow = findWebElement(findTestObject(""Object Repository/HKJFL-148/player/td_player_1""), 30)",Chrome 85.0.4183.83,,,2020-12-07 11:10:08,2020-12-07 11:10:09,0.258s,PASSED
"lastRow = findWebElement(findTestObject(""Object Repository/HKJFL-148/player/td_player_10""), 30)",Chrome 85.0.4183.83,,,2020-12-07 11:10:09,2020-12-07 11:10:09,0.260s,PASSED
build().perform(),Chrome 85.0.4183.83,,,2020-12-07 11:10:09,2020-12-07 11:10:09,0.266s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/button_Actions""))",Chrome 85.0.4183.83,,,2020-12-07 11:10:09,2020-12-07 11:10:10,0.521s,PASSED
"click(findTestObject(""HKJFL-148/a_Assign player to Team""))",Chrome 85.0.4183.83,,,2020-12-07 11:10:10,2020-12-07 11:10:10,0.536s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/button_OK""))",Chrome 85.0.4183.83,,,2020-12-07 11:10:10,2020-12-07 11:10:11,0.984s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/span_Select a team_select2-selection__arrow""))",Chrome 85.0.4183.83,,,2020-12-07 11:10:11,2020-12-07 11:10:12,0.834s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/li_HKFC"" + number))",Chrome 85.0.4183.83,,,2020-12-07 11:10:12,2020-12-07 11:10:13,0.510s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/button_Submit""))",Chrome 85.0.4183.83,,,2020-12-07 11:10:13,2020-12-07 11:10:13,0.556s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/HKJFL-144/div_Information - Assign player to Team""), 0)",Chrome 85.0.4183.83,,,2020-12-07 11:10:13,2020-12-07 11:10:14,0.833s,PASSED
"plusName = [name1, name2, name3, name4, name5, name6, name7, name8, name9, name10]",Chrome 85.0.4183.83,,,2020-12-07 11:10:14,2020-12-07 11:10:14,0.000s,PASSED
compareName(plusName),Chrome 85.0.4183.83,,,2020-12-07 11:10:14,2020-12-07 11:10:14,0.000s,PASSED
"allName = """"",Chrome 85.0.4183.83,,,2020-12-07 11:10:14,2020-12-07 11:10:14,0.000s,PASSED
"objFound = findTestObject(""HKJFL-148/alert_Area"")",Chrome 85.0.4183.83,,,2020-12-07 11:10:14,2020-12-07 11:10:14,0.028s,PASSED
"if (verifyElementPresent(objFound, 5, OPTIONAL) == true)",Chrome 85.0.4183.83,,,2020-12-07 11:10:14,2020-12-07 11:10:14,0.500s,PASSED
count = 0,Chrome 85.0.4183.83,,,2020-12-07 11:10:14,2020-12-07 11:10:14,0.000s,PASSED
"for ([i = 0, i < length, (i++)])",Chrome 85.0.4183.83,,,2020-12-07 11:10:14,2020-12-07 11:10:15,0.151s,PASSED
if (count == length),Chrome 85.0.4183.83,,,2020-12-07 11:10:15,2020-12-07 11:10:19,4.036s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/button_""))",Chrome 85.0.4183.83,,,2020-12-07 11:10:19,2020-12-07 11:10:19,0.090s,PASSED
selectTeamAndSubmit(teamNumber),Chrome 85.0.4183.83,,,2020-12-07 11:10:19,2020-12-07 11:10:19,0.001s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/a_Teams""))",Chrome 85.0.4183.83,,,2020-12-07 11:10:19,2020-12-07 11:10:19,0.328s,PASSED
"click(findTestObject(""Object Repository/HKJFL-144/td_HKFC"" + number + ""_details""))",Chrome 85.0.4183.83,,,2020-12-07 11:10:19,2020-12-07 11:10:20,0.538s,PASSED
,,,,,,,
Test Cases/JFL-152/JFL-152_AdminCanLogin,Chrome 85.0.4183.83,,,2020-12-07 11:10:20,2020-12-07 11:10:29,9.653s,PASSED
"openBrowser("""")",Chrome 85.0.4183.83,,,2020-12-07 11:10:20,2020-12-07 11:10:23,3.757s,PASSED
"navigateToUrl(""http://localhost/ezactivevn/hkjfl/admin/login.html"")",Chrome 85.0.4183.83,,,2020-12-07 11:10:23,2020-12-07 11:10:24,0.252s,PASSED
"setText(findTestObject(""Object Repository/JFL-152/Page_HKJFL - Login/input_Sign up_email""), ""hkjfl@ezactive.com"")",Chrome 85.0.4183.83,,,2020-12-07 11:10:24,2020-12-07 11:10:25,0.822s,PASSED
"setEncryptedText(findTestObject(""Object Repository/JFL-152/Page_HKJFL - Login/input_Sign up_password""), ""iGDxf8hSRT4="")",Chrome 85.0.4183.83,,,2020-12-07 11:10:25,2020-12-07 11:10:25,0.367s,PASSED
"click(findTestObject(""Object Repository/JFL-152/Page_HKJFL - Login/button_Login""))",Chrome 85.0.4183.83,,,2020-12-07 11:10:25,2020-12-07 11:10:25,0.318s,PASSED
"click(findTestObject(""Object Repository/JFL-152/Page_Dashboard/TeamSheet""))",Chrome 85.0.4183.83,,,2020-12-07 11:10:25,2020-12-07 11:10:26,0.987s,PASSED
"click(findTestObject(""Object Repository/JFL-152/Page_Dashboard/a_2019-2020""))",Chrome 85.0.4183.83,,,2020-12-07 11:10:26,2020-12-07 11:10:27,0.534s,PASSED
"click(findTestObject(""Object Repository/JFL-152/Page_Team Sheet/span_U7 Boys_select2-selection__arrow""))",Chrome 85.0.4183.83,,,2020-12-07 11:10:27,2020-12-07 11:10:27,0.570s,PASSED
"takeFullPageScreenshot(""C:\test\result\152.png"")",Chrome 85.0.4183.83,,,2020-12-07 11:10:27,2020-12-07 11:10:29,1.983s,PASSED
,,,,,,,
Test Cases/JFL-152/JFL-152_ClientTestSortGroup_TestCaseNotUseful,Chrome 85.0.4183.83,,,2020-12-07 11:10:29,2020-12-07 11:11:13,44.132s,FAILED
"openBrowser("""")",Chrome 85.0.4183.83,,,2020-12-07 11:10:29,2020-12-07 11:10:33,3.742s,PASSED
"navigateToUrl(""http://localhost:8102"")",Chrome 85.0.4183.83,,,2020-12-07 11:10:33,2020-12-07 11:10:34,1.146s,PASSED
"setText(findTestObject(""Object Repository/JFL-152/ClientApp/WebApp/Page_Ionic App/inputEmail_client""), ""hkjfl@ezactive.com"")",Chrome 85.0.4183.83,,,2020-12-07 11:10:34,2020-12-07 11:10:36,1.382s,PASSED
"setEncryptedText(findTestObject(""Object Repository/JFL-152/ClientApp/WebApp/Page_Ionic App/inputPass_client""), ""iGDxf8hSRT4="")",Chrome 85.0.4183.83,,,2020-12-07 11:10:36,2020-12-07 11:10:36,0.351s,PASSED
"click(findTestObject(""Object Repository/JFL-152/ClientApp/WebApp/Page_Ionic App/ion-button_Log In""))",Chrome 85.0.4183.83,,,2020-12-07 11:10:36,2020-12-07 11:10:37,0.527s,PASSED
"click(findTestObject(""Object Repository/JFL-152/ClientApp/WebApp/Page_Ionic App/Page_Ionic App/ion-label_Team sheet""))",Chrome 85.0.4183.83,,,2020-12-07 11:10:37,2020-12-07 11:10:38,1.375s,PASSED
"click(findTestObject(""Object Repository/JFL-152/ClientApp/WebApp/Page_Ionic App/Page_Ionic App/ion-button_Select""))",Chrome 85.0.4183.83,,,2020-12-07 11:10:38,2020-12-07 11:11:13,35.478s,FAILED
,,,,,,,
Test Cases/JFL-154/JFL-154_Admin_SeeTeamsheetForYearGroupInWebOrApp,Chrome 85.0.4183.83,,,2020-12-07 11:11:13,2020-12-07 11:11:24,10.945s,PASSED
"openBrowser("""")",Chrome 85.0.4183.83,"Mo trinh duyet
",,2020-12-07 11:11:14,2020-12-07 11:11:17,3.749s,PASSED
driver = getWebDriver(),Chrome 85.0.4183.83,cap nhat driver,,2020-12-07 11:11:17,2020-12-07 11:11:17,0.000s,PASSED
"navigateToUrl(""http://localhost/ezactivevn/hkjfl/admin/login.html"")",Chrome 85.0.4183.83,"dieu huong trinh duyet
",,2020-12-07 11:11:17,2020-12-07 11:11:18,0.245s,PASSED
"takeScreenshot(""./admin.png"")",Chrome 85.0.4183.83,chup man hinh,,2020-12-07 11:11:18,2020-12-07 11:11:18,0.812s,PASSED
"setText(findTestObject(""Object Repository/HKJFL_154_ADMIN/Page_HKJFL - Login/input_Sign up_email""), email)",Chrome 85.0.4183.83,,,2020-12-07 11:11:18,2020-12-07 11:11:19,0.577s,PASSED
"setEncryptedText(findTestObject(""Object Repository/HKJFL_154_ADMIN/Page_HKJFL - Login/input_Sign up_password""), password)",Chrome 85.0.4183.83,,,2020-12-07 11:11:19,2020-12-07 11:11:19,0.370s,PASSED
"click(findTestObject(""Object Repository/HKJFL_154_ADMIN/Page_HKJFL - Login/button_Login""))",Chrome 85.0.4183.83,,,2020-12-07 11:11:19,2020-12-07 11:11:20,0.318s,PASSED
"click(findTestObject(""Object Repository/HKJFL_154_ADMIN/Page_Dashboard  Hong Kong Junior Football League/a_Team sheet""))",Chrome 85.0.4183.83,,,2020-12-07 11:11:20,2020-12-07 11:11:21,1.007s,PASSED
"click(findTestObject(""Object Repository/HKJFL_154_ADMIN/Page_Dashboard  Hong Kong Junior Football League/a_2020-2021""))",Chrome 85.0.4183.83,,,2020-12-07 11:11:21,2020-12-07 11:11:21,0.533s,PASSED
"click(findTestObject(""Object Repository/HKJFL_154_ADMIN/Page_Team Sheet  Hong Kong Junior Football League/span_U7 Boys""))",Chrome 85.0.4183.83,,,2020-12-07 11:11:21,2020-12-07 11:11:22,0.569s,PASSED
"setText(findTestObject(""Object Repository/HKJFL_154_ADMIN/Page_Team Sheet  Hong Kong Junior Football League/input_concat(id(, , select2-sel2-container,_b430b6""), ""U10"")",Chrome 85.0.4183.83,,,2020-12-07 11:11:22,2020-12-07 11:11:23,0.784s,PASSED
"sendKeys(findTestObject(""Object Repository/HKJFL_154_ADMIN/Page_Team Sheet  Hong Kong Junior Football League/input_concat(id(, , select2-sel2-container,_b430b6""), Keys.chord(ENTER))",Chrome 85.0.4183.83,,,2020-12-07 11:11:23,2020-12-07 11:11:23,0.503s,PASSED
"click(findTestObject(""Object Repository/HKJFL_154_ADMIN/Page_Team Sheet  Hong Kong Junior Football League/button_Select""))",Chrome 85.0.4183.83,,,2020-12-07 11:11:23,2020-12-07 11:11:24,0.545s,PASSED
"com.database.DemoMySql.connectDB(""localhost"", dbName, ""3306"", ""root"", """")",Chrome 85.0.4183.83,,,2020-12-07 11:11:24,2020-12-07 11:11:24,0.005s,PASSED
